Project,F,Difference
apache-ant-1.7.0,0.413,0.413
apache-jmeter-2.10,0.763,-0.018
argouml,0.823,-0.005
columba-1.4-src,0.849,0.048
emf-2.4.1,0.461,0.461
hibernate-distribution-3.3.2.GA,0.804,0.016
jEdit-4.2,0.358,-0.16
jfreechart-1.0.19,0.577,-0.11
jruby-1.4.0,0.852,0.011
sql12,0.646,-0.005
