Project,F,Difference
apache-ant-1.7.0,0.377,0.377
apache-jmeter-2.10,0.762,-0.019
argouml,0.816,-0.012
columba-1.4-src,0.857,0.056
emf-2.4.1,0.462,0.462
hibernate-distribution-3.3.2.GA,0.804,0.016
jEdit-4.2,0.355,-0.163
jfreechart-1.0.19,0.569,-0.118
jruby-1.4.0,0.863,0.022
sql12,0.628,-0.023
