Project,F,Difference
apache-ant-1.7.0,0.358,0.358
apache-jmeter-2.10,0.77,-0.011
argouml,0.841,0.013
columba-1.4-src,0.885,0.084
emf-2.4.1,0.431,0.431
hibernate-distribution-3.3.2.GA,0.0,-0.788
jEdit-4.2,0.28,-0.238
jfreechart-1.0.19,0.0,-0.687
jruby-1.4.0,0.887,0.046
sql12,0.502,-0.149

THIS IS A TEMPORARY RESULT. GOT CANCELED WHILE RUNNIG. NOT A FULL RESULT.
