Project,F,Difference
apache-ant-1.7.0,0.376,0.376
apache-jmeter-2.10,0.772,-0.009
argouml,0.842,0.014
columba-1.4-src,0.883,0.082
emf-2.4.1,0.422,0.422
hibernate-distribution-3.3.2.GA,0.797,0.009
jEdit-4.2,0.277,-0.241
jfreechart-1.0.19,0.561,-0.126
jruby-1.4.0,0.883,0.042
sql12,0.618,-0.033
