Project,F,Difference
apache-ant-1.7.0,0.3,0.3
apache-jmeter-2.10,0.755,-0.026
argouml,0.82,-0.008
columba-1.4-src,0.853,0.052
emf-2.4.1,0.457,0.457
hibernate-distribution-3.3.2.GA,0.808,0.02
jEdit-4.2,0.352,-0.166
jfreechart-1.0.19,0.456,-0.231
jruby-1.4.0,0.848,0.007
sql12,0.628,-0.023
