Project,F,Difference
apache-ant-1.7.0,0.391,0.391
apache-jmeter-2.10,0.759,-0.022
argouml,0.831,0.003
columba-1.4-src,0.868,0.067
emf-2.4.1,0.411,0.411
hibernate-distribution-3.3.2.GA,0.8,0.012
jEdit-4.2,0.355,-0.163
jfreechart-1.0.19,0.565,-0.122
jruby-1.4.0,0.864,0.023
sql12,0.622,-0.029
