Project,Huang,feaNone,Diff,fea05,Diff,fea10,Diff,fea20,Diff,fea30,Diff,feaNoneStopNone,Diff,fea05StopNone,Diff
apache-ant-1.7.0,0,41.3,41.3,37.6,37.6,39.1,39.1,37.7,37.7,30,30,47.9,47.9,39.23,39.2
apache-jmeter-2.10,78.1,76.3,-1.8,77.2,-0.9,75.9,-2.2,76.2,-1.9,75.5,-2.6,79.6,1.5,81.01,2.9
argouml,82.8,82.3,-0.5,84.2,1.4,83.1,0.3,81.6,-1.2,82,-0.8,85.6,2.8,84.56,1.8
columba-1.4-src,80.1,84.9,4.8,88.3,8.2,86.8,6.7,85.7,5.6,85.3,5.2,82.9,2.8,89.61,9.5
emf-2.4.1,0,46.1,46.1,42.2,42.2,41.1,41.1,46.2,46.2,45.7,45.7,45.6,45.6,43.23,43.2
hibernate-distribution-3.3.2.GA,78.8,80.4,1.6,79.7,0.9,80,1.2,80.4,1.6,80.8,2,82.6,3.8,81.96,3.2
jEdit-4.2,51.8,35.8,-16,27.7,-24.1,35.5,-16.3,35.5,-16.3,35.2,-16.6,35.5,-16.3,31.83,-20
jfreechart-1.0.19,68.7,57.7,-11,56.1,-12.6,56.5,-12.2,56.9,-11.8,45.6,-23.1,57.4,-11.3,57.3,-11.4
jruby-1.4.0,84.1,85.2,1.1,88.3,4.2,86.4,2.3,86.3,2.2,84.8,0.7,87.3,3.2,89.72,5.6
sql12,65.1,64.6,-0.5,61.8,-3.3,62.2,-2.9,62.8,-2.3,62.8,-2.3,67.4,2.3,66.49,1.4
