,apache-ant-1.7.0.csv,apache-jmeter-2.10.csv,argouml.csv,columba-1.4-src.csv,emf-2.4.1.csv,hibernate-distribution-3.3.2.GA.csv,jEdit-4.2.csv,jfreechart-1.0.19.csv,jruby-1.4.0.csv,sql12.csv
0,256,256,256,256,256,204,1413,256,256,256
1,256,256,256,256,256,204,1413,256,256,256
2,256,256,256,256,256,204,1413,256,256,256
3,256,256,256,256,256,204,1413,256,256,256
4,256,256,256,256,256,204,1413,256,256,256
5,256,256,256,256,256,204,1413,256,256,256
6,256,256,256,256,256,204,1413,256,256,256
7,256,256,256,256,256,204,1413,256,256,256
8,256,256,256,256,256,204,1413,256,256,256
9,256,256,256,256,256,204,1413,256,256,256
