,apache-ant-1.7.0.csv,apache-jmeter-2.10.csv,argouml.csv,columba-1.4-src.csv,emf-2.4.1.csv,hibernate-distribution-3.3.2.GA.csv,jEdit-4.2.csv,jfreechart-1.0.19.csv,jruby-1.4.0.csv,sql12.csv
0,104,104,104,104,131,104,104,104,104,104
1,104,104,104,104,131,104,104,104,104,104
2,104,104,104,104,131,104,104,104,104,104
3,104,104,104,104,131,104,104,104,104,104
4,104,104,104,104,131,104,104,104,104,104
5,104,104,104,104,131,104,104,104,104,104
6,104,104,104,104,131,104,104,104,104,104
7,104,104,104,104,131,104,104,104,104,104
8,104,104,104,104,131,104,104,104,104,104
9,104,104,104,104,131,104,104,104,104,104
